id_categoria_raw,nome_categoria,tipo_categoria,codigo_contabil,ingestion_id,ingestion_ts,source_system,source_entity,row_seq,raw_row_hash
1,Venda de Produtos,RECEITA,4.1.01,c17371e6-309d-4559-90f7-1f60b4e6e2d2,2026-01-10T08:30:00.000Z,ERP_FINANCEIRO,categorias_contabeis,1,fb33a69228b0ab78c45e8f9a55b339878da73256f2af99730a80851b01d899a8
2,Venda de Serviços,RECEITA,4.1.02,c17371e6-309d-4559-90f7-1f60b4e6e2d2,2026-01-10T08:30:00.000Z,ERP_FINANCEIRO,categorias_contabeis,2,380541ef110ae4e9db4a88ec26bd139d2772360477a494b3696791751753b71b
3,Receita Financeira,RECEITA,4.2.01,c17371e6-309d-4559-90f7-1f60b4e6e2d2,2026-01-10T08:30:00.000Z,ERP_FINANCEIRO,categorias_contabeis,3,ca31e12947b55344895c6432c3f34c626ba3d9d93f0613c8011d962ae62f143c
4,Salários e Ordenados,DESPESA,2.1.01,c17371e6-309d-4559-90f7-1f60b4e6e2d2,2026-01-10T08:30:00.000Z,ERP_FINANCEIRO,categorias_contabeis,4,f0103f49aebed2e1640f10c8b927c4a732e26468d7c4716b27e1a83af934d8e8
5,Encargos Trabalhistas,DESPESA,2.1.02,c17371e6-309d-4559-90f7-1f60b4e6e2d2,2026-01-10T08:30:00.000Z,ERP_FINANCEIRO,categorias_contabeis,5,1aa8c0897d87702f3b7be628e6b3d3c7172409999c9d237911b6eaaf1c68b287
6,Material de Escritório,DESPESA,2.2.01,c17371e6-309d-4559-90f7-1f60b4e6e2d2,2026-01-10T08:30:00.000Z,ERP_FINANCEIRO,categorias_contabeis,6,1856af73409c502a397af1527f7ffbda5bd43950e1b56dd78bda54c3e077c2be
7,Aluguel,DESPESA,2.2.02,c17371e6-309d-4559-90f7-1f60b4e6e2d2,2026-01-10T08:30:00.000Z,ERP_FINANCEIRO,categorias_contabeis,7,9c07c1eafe1c9289049d29c400594fb49149fd52e7c6a0abaf0b05ff6c896ddc
8,Energia Elétrica,DESPESA,2.2.03,c17371e6-309d-4559-90f7-1f60b4e6e2d2,2026-01-10T08:30:00.000Z,ERP_FINANCEIRO,categorias_contabeis,8,4c862bd35de9718805f0c7a75024946331fe68ce5c3f44b40891e39d67fa22ec
9,Telefonia e Internet,DESPESA,2.2.04,c17371e6-309d-4559-90f7-1f60b4e6e2d2,2026-01-10T08:30:00.000Z,ERP_FINANCEIRO,categorias_contabeis,9,5970a0cb4fae6fa0833a6a641b3b3fa2b98a750595cf7d233dd7446e076926a0
10,Manutenção Predial,DESPESA,2.2.05,c17371e6-309d-4559-90f7-1f60b4e6e2d2,2026-01-10T08:30:00.000Z,ERP_FINANCEIRO,categorias_contabeis,10,e59de56a61e74959f42b22e80cd321da65c722c0757f8723edcf082aa0039e8e
11,Honorários Profissionais,DESPESA,2.3.01,c17371e6-309d-4559-90f7-1f60b4e6e2d2,2026-01-10T08:30:00.000Z,ERP_FINANCEIRO,categorias_contabeis,11,c0b67b3ce298c1493c5db64a0f0a935c4194d66b1c658b613b2cf7cdd2cf04e9
12,Consultorias,DESPESA,2.3.02,c17371e6-309d-4559-90f7-1f60b4e6e2d2,2026-01-10T08:30:00.000Z,ERP_FINANCEIRO,categorias_contabeis,12,832c28fe26f46c48f828a376c154032d446dc8320668503245db362380477b54
13,Publicidade e Propaganda,DESPESA,2.4.01,c17371e6-309d-4559-90f7-1f60b4e6e2d2,2026-01-10T08:30:00.000Z,ERP_FINANCEIRO,categorias_contabeis,13,442c627a3467521eb1db76695c047cc05301250d5f16b2aa5100c5b9c7ae3dbe
14,Eventos e Promoções,DESPESA,2.4.02,c17371e6-309d-4559-90f7-1f60b4e6e2d2,2026-01-10T08:30:00.000Z,ERP_FINANCEIRO,categorias_contabeis,14,6635612c456bc74a14524d74b640b6d78570cea65c51624e58b3657e79d12ec0
15,Material de Marketing,DESPESA,2.4.03,c17371e6-309d-4559-90f7-1f60b4e6e2d2,2026-01-10T08:30:00.000Z,ERP_FINANCEIRO,categorias_contabeis,15,725e1a7299a156742ce5328ba9ab9904b73be6ed617b20353d2690764ccfbcd9
16,Combustível e Lubrificantes,DESPESA,2.5.01,c17371e6-309d-4559-90f7-1f60b4e6e2d2,2026-01-10T08:30:00.000Z,ERP_FINANCEIRO,categorias_contabeis,16,9ef12dcdfef324dc4021f359a18a7eeff80c716e10c9bb3acc7496ac1a013582
17,Manutenção Veicular,DESPESA,2.5.02,c17371e6-309d-4559-90f7-1f60b4e6e2d2,2026-01-10T08:30:00.000Z,ERP_FINANCEIRO,categorias_contabeis,17,076ad8a4c3c1b75688fa4d3c604ebde76a77f6f9dd43e07f4f652d208aa52214
18,Passagens Aéreas,DESPESA,2.6.01,c17371e6-309d-4559-90f7-1f60b4e6e2d2,2026-01-10T08:30:00.000Z,ERP_FINANCEIRO,categorias_contabeis,18,03da73cadc361e18198d3fc43a84776a0c2cdaa44b305d8bebbee3b82353883c
19,Hospedagem,DESPESA,2.6.02,c17371e6-309d-4559-90f7-1f60b4e6e2d2,2026-01-10T08:30:00.000Z,ERP_FINANCEIRO,categorias_contabeis,19,da54fdae6fd4233f1998debafc8fca4e841097240e40b89c2f3a3cdfd932cbcf
20,Alimentação em Viagem,DESPESA,2.6.03,c17371e6-309d-4559-90f7-1f60b4e6e2d2,2026-01-10T08:30:00.000Z,ERP_FINANCEIRO,categorias_contabeis,20,0549346bd9900c0db078f97a840261d10dedc7c0315669b46d02c7b67adca862
