id_pagamento_raw,id_transacao_raw,data_pagamento,valor_pago,metodo_pagamento,comprovante,ingestion_id,ingestion_ts,source_system,source_entity,row_seq,raw_row_hash
1,144,2024-01-07,3089.73,PIX,COMP-4A64F6186A82,10bc98d1-da48-4750-9c17-bbdb1c75d6e2,2026-01-10T09:30:00.000Z,ERP_CORPORATIVO,pagamentos,1,7d551a1c2c3b6761145a2b9a63e591b9286d1ea75cdaf88c9927f92c0031aa1b
2,146,2024-01-23,2527.31,TED,COMP-3868E3E3E080,10bc98d1-da48-4750-9c17-bbdb1c75d6e2,2026-01-10T09:30:00.000Z,ERP_CORPORATIVO,pagamentos,2,56b16e94015be4e2af7c35b6005e42688ea351da7586f42e46df2353a7926129
3,147,2024-01-09,2459.29,CARTAO,COMP-ED11FCF173DD,10bc98d1-da48-4750-9c17-bbdb1c75d6e2,2026-01-10T09:30:00.000Z,ERP_CORPORATIVO,pagamentos,3,2ea94f3f90d30c80cbf7d5d569eaec9ee7f153a156813ac3262135b4de3ac3f7
4,149,2024-01-31,2987.76,BOLETO,COMP-64C9176A96BA,10bc98d1-da48-4750-9c17-bbdb1c75d6e2,2026-01-10T09:30:00.000Z,ERP_CORPORATIVO,pagamentos,4,00c507280bbbc54364a05a73f5d1b1ce3a34482e0043e8aa9b45b1b58fdf547c
5,150,2024-01-20,3086.49,TRANSFERENCIA,COMP-99D03E27B0D8,10bc98d1-da48-4750-9c17-bbdb1c75d6e2,2026-01-10T09:30:00.000Z,ERP_CORPORATIVO,pagamentos,5,99cfbf636b4bbf087a9ab389573c2c974adef508ea6807ed1cb538007569ab7e
6,151,2024-01-05,2657.57,TRANSFERENCIA,COMP-910FE732DAD4,10bc98d1-da48-4750-9c17-bbdb1c75d6e2,2026-01-10T09:30:00.000Z,ERP_CORPORATIVO,pagamentos,6,c801eca2cf78dfb9fd7750a0da5f0b4550fdb983d354a778fbc34d54566000e1
7,1925,2024-01-18,3262.57,PIX,COMP-B43DA9D69E68,10bc98d1-da48-4750-9c17-bbdb1c75d6e2,2026-01-10T09:30:00.000Z,ERP_CORPORATIVO,pagamentos,7,78d0d5b3b771b45f64fee11e9d225d5308c08d5192188e76f7fda62a57128d41
8,1926,2024-01-17,2866.26,TRANSFERENCIA,COMP-CAF7DCAFD006,10bc98d1-da48-4750-9c17-bbdb1c75d6e2,2026-01-10T09:30:00.000Z,ERP_CORPORATIVO,pagamentos,8,844acf7868708b966fb1feee657e414290634ef95055ea17d79bbee5855a7513
9,1928,2024-01-11,2791.06,BOLETO,COMP-A1FF68DC5363,10bc98d1-da48-4750-9c17-bbdb1c75d6e2,2026-01-10T09:30:00.000Z,ERP_CORPORATIVO,pagamentos,9,5f883e23055d092f4b6db075304b946b1aeef30e2cd808ad06ca583c6ae1aaac
10,1929,2024-01-28,3804.77,PIX,COMP-35A22C80B26F,10bc98d1-da48-4750-9c17-bbdb1c75d6e2,2026-01-10T09:30:00.000Z,ERP_CORPORATIVO,pagamentos,10,4198d893063219f2100b1f05cfed53958f4f58a7bc2cdf37cb2eb0fc9b6be8e6
11,1930,2024-01-18,3343.11,PIX,COMP-A30F9443B910,10bc98d1-da48-4750-9c17-bbdb1c75d6e2,2026-01-10T09:30:00.000Z,ERP_CORPORATIVO,pagamentos,11,403b94394384c9f6655ff74b8f89f235279256afe0d61ab3160631c3e160e69f
