id_transacao_raw,data_transacao,data_competencia,id_area_raw,id_fornecedor_raw,tipo_transacao,valor_bruto,valor_liquido,moeda,descricao,id_categoria_raw,forma_pagamento,status_pagamento,ingestion_id,ingestion_ts,source_system,source_entity,row_seq,raw_row_hash
TR-00084,2025-07-21,2025-07-01,PES,1000000,DESPESA,3896.1231869302046,3772.706148745555,BRL,Despesa de infraestrutura - PES,3,PIX,PAGO,d4641add-3306-4ba7-b535-358854b3d242,2025-08-05,ERP_CORPORATIVO,TRANSACOES_FINANCEIRAS,84,56f6dae5f8192b0389f43c3ec0d2de7f39519f939f427618d24e054c92d9c7d6
TR-00085,2025-07-18,2025-07-01,VND,1000000,DESPESA,3737.4290156587904,3737.4290156587904,BRL,Desconto concedido em operação de VND,38,BOLETO,PAGO,d4641add-3306-4ba7-b535-358854b3d242,2025-08-05,ERP_CORPORATIVO,TRANSACOES_FINANCEIRAS,85,1a354551b3959e60396a10df2e7038602bead67844e25a3a5f077d6d0ee61162
TR-00086,2025-07-04,2025-07-01,FIN,1000000,DESPESA,3766.498787238478,3766.498787238478,BRL,Despesa jurídica da área FIN,24,TED,CANCELADO,d4641add-3306-4ba7-b535-358854b3d242,2025-08-05,ERP_CORPORATIVO,TRANSACOES_FINANCEIRAS,86,82b66014a6f42fdf326df766ac914ef0b6bda06cb0fcb4ed3538a0e00a374638
TR-00087,2025-07-07,2025-07-01,PRD,1000000,RECEITA,4431.933538978735,4303.651684417591,BRL,Despesa de RH - PRD,6,TRANSFERENCIA,PAGO,d4641add-3306-4ba7-b535-358854b3d242,2025-08-05,ERP_CORPORATIVO,TRANSACOES_FINANCEIRAS,87,0d73c9a6bf0f7eddb095929bdc99090c132a8d4a0e22675c48ea9857839b2fbe
TR-00346,2025-07-28,2025-07-01,FIN,FORN-00003,DESPESA,2250.1558477097183,2250.1558477097183,BRL,Investimento em marketing corporativo (FIN),4,PIX,PAGO,d4641add-3306-4ba7-b535-358854b3d242,2025-08-05,ERP_CORPORATIVO,TRANSACOES_FINANCEIRAS,346,91bd5ef1b353508f407de5ff2772d93a4cae66fa3f6f893e6a589064c4051070
TR-00347,2025-07-22,2025-07-01,COMP,FORN-00003,DESPESA,2678.1525401952154,2678.1525401952154,BRL,Despesa operacional - COMP,8,PIX,PAGO,d4641add-3306-4ba7-b535-358854b3d242,2025-08-05,ERP_CORPORATIVO,TRANSACOES_FINANCEIRAS,347,e9360fef3e896ab6579ca0996c58aa9850abd68ceeacc95001dbda7a4ef26716
TR-00348,2025-07-11,2025-07-01,RH,FORN-00003,DESPESA,2248.4658806338525,2146.9214128159315,BRL,Despesa operacional - RH,8,CARTAO,ATRASADO,d4641add-3306-4ba7-b535-358854b3d242,2025-08-05,ERP_CORPORATIVO,TRANSACOES_FINANCEIRAS,348,6948b9208db30d31887c56598798683e212f829b0b11e08ed1aa798d122e188f
TR-00349,2025-07-17,2025-07-01,LOG,FORN-00003,DESPESA,1987.9096588614032,1946.7603730369387,BRL,Imposto sobre venda apurado em LOG,40,PIX,PAGO,d4641add-3306-4ba7-b535-358854b3d242,2025-08-05,ERP_CORPORATIVO,TRANSACOES_FINANCEIRAS,349,a649d7aada70552de1fc58b24ecb82fa913b8f22de59a52e1ae6ef4012019df1
TR-00350,2025-07-10,2025-07-01,RH,FORN-00003,DESPESA,2016.8474085075545,2016.8474085075545,BRL,Receita de aluguel creditada em RH,31,TED,PAGO,d4641add-3306-4ba7-b535-358854b3d242,2025-08-05,ERP_CORPORATIVO,TRANSACOES_FINANCEIRAS,350,ecbef791ef8223c594d7477017bfe97ab85428cddf225be005a2d1de948efd5f
TR-00351,2025-07-16,2025-07-01,TI,FORN-00003,DESPESA,2541.5485488952977,2541.5485488952977,BRL,Campanha institucional - TI,4,BOLETO,PAGO,d4641add-3306-4ba7-b535-358854b3d242,2025-08-05,ERP_CORPORATIVO,TRANSACOES_FINANCEIRAS,351,6cf3d46ce96abd7d1f9ef096c9b3bb987ca10613216c962c9e72eb573b1597ea
